1044089	Zahedan	Iran	it
65670	レシフェ	Brazil	ja
2295027	Al-Batina	Oman	de
3604362	محافظة الحديدة	Yemen	ar
3604364	焦夫省 	Yemen	zh
35894206	كوردوبا 	Argentina	ar
1938631	Moradabad	India	pt
64203	サラゴサ	Spain	ja
385137	Chongming	China	nl
337536	Kolhapur	India	en
3488677	Prowincja Południowa 	Zambia	pl
229422	São Paulo 	Brazil	en
283965	Cáli	Colombia	pt
2185679	沙田ニュータウン	Hong Kong	ja
2914986	Contea di Suizhong	China	it
4592131	Hafizabad District	Pakistan	en
481447	Wenzhou	China	de
996106	玉林市	China	ja
863251	Región de Mtwara	Tanzania	es
353661	バンドン	Indonesia	ja
398941	Ryanggang	North Korea	pt
1895091	晋中市	China	zh
1457072	Tarente 	Italy	nl
389464	Makassar	Indonesia	en
323111	Ulsan	South Korea	fr
569037	加濟安泰普	Turkey	zh
1199235	Copperbelt 	Zambia	de
3391396	Istanbul	Turkey	en
2567374	Чжуанхэ	China	ru
4443	Barcelona 	Spain	nl
7130981	Xinzhou	China	nl
4461891	Bajour	Pakistan	it
2509972	Kabupaten de Bandung	Indonesia	fr
3799826	Восточная Индия	India	ru
2832935	Tianmen	China	fr
657013	Jiamusi	China	de
48805008	Tanger-Tétouan-Al Hoceïma	Morocco	fr
2543357	Yên Bái Province	Vietnam	en
12657477	Xiuzhou District	China	en
624764	Kryvyi Rih	Ukraine	en
56606	Bamako	Mali	pt
13906019	漣水県	China	ja
5166	Kopenhaga	Denmark	pl
1015082	Dadaab	Kenya	nl
220132	Prowincja Pattani	Thailand	pl
229502	أمابا	Brazil	ar
337536	Kolhapur	India	it
407429	Wayanad 	India	fr
427390	Huai’an	China	pl
1728129	Langfang	China	en
292011	Сучжоу 	China	ru
767106	Zespół Metropolitalny Porto	Matosinhos	pl
255602	Пампанга	Philippines	ru
588207	Kisangani	Democratic Republic of the Congo	en
1097492	Hanzhong	China	fr
18950723	Abeokuta	Nigeria	pt
10640301	Menabe	Madagascar	de
2746453	Distrito de Pilibhit	India	es
57644	ソフィア 	Bulgaria	ja
386882	Nanchang	China	nl
728376	Manabí	Ecuador	fr
2819874	Zou	Benin	fr
55289	Caracas	Venezuela	pt
2017989	Паньцзинь	China	ru
241002	福州市	China	ja
798406	Prowincja Tây Ninh	Vietnam	pl
455086	Manaus	Brazil	de
154564	Xalapa	Mexico	pt
1448582	Province de Latina	Italy	fr
987214	Vicenza 	Italy	pt
3633804	أوبليس جامبيل	Kazakhstan	ar
18950723	Abeokuta	Nigeria	pt
208760	南芬兰省	Finland	zh
2311627	Región de Diourbel	Senegal	es
1013401	Duque de Caxias	Brazil	de
25994100	德古斯加巴	Honduras	zh
145335	Oran 	Algeria	nl
1110775	سولاوسي الغربية	Indonesia	ar
145964	ブラジリア連邦直轄区	Brazil	ja
9956881	Androy	Madagascar	pt
1448716	Prowincja Mediolan	Italy	pl
5063880	Tadla-Azilal	Morocco	pt
4592183	Distretto di Pakpattan	Pakistan	it
85887	Województwo kujawsko-pomorskie	Poland	pl
17551726	Толука-де-Лердо	Mexico	ru
453636	West-Kalimantan	Indonesia	nl
53838	Dallas	United States	en
4592186	Distretto di Sheikhupura	Pakistan	it
181779	中大西洋地区	New York	zh
448255	Provincia de Maputo	Mozambique	es
18132747	巴克沙縣	India	zh
13844119	Сичуань	China	ru
20593	Woiwodschap Klein-Polen	Poland	nl
353059	Vilnius 	Lithuania	nl
15113015	Mezoregion Centro Ocidental Rio-Grandense	Brazil	pl
82198	Belo Horizonte	Brazil	pl
45088540	Malatya Subregion	Turkey	en
56100	Ouagadougou	Burkina Faso	nl
320047	ケレタロ	Mexico	ja
448234	Sofala	Mozambique	es
6886	Chicago	United States	en
638366	Dongying	China	es
417498	Kumasi	Ghana	nl
24702596	道県	China	ja
69802	Comunidade autónoma de Madrid	Spain	pt
177755	Puebla 	Mexico	nl
5809555	Sidhauli	India	pt
1732458	Province de Quảng Trị	Vietnam	fr
32066	アルスター	United Kingdom	ja
448097	Kohgiluyeh and Boyer-Ahmad Province	Iran	en
1732458	廣治省	Vietnam	zh
5890971	Chamba 	India	pl
223470	Malappuram 	India	de
14288	哈密尔顿 	Canada	zh
45139	金奈	India	zh
22946831	Mangalore taluk	India	en
1279793	巴西中西部	Brazil	zh
62142	Cuerno de África	Somalia	es
63514	Campinas	Brazil	de
2904119	Region Centre-Sud	Burkina Faso	pl
230930	الأقاليم الجديدة	Hong Kong	ar
196185	Santa Cruz 	Poland	pt
320665	Podprefektura Kamikawa	Hokkaido	pl
946277	Shaoguan	China	fr
255812	سوروسوغون	Philippines	ar
51593	Minsk	Belarus	pt
186095	Madurai	India	fr
5830458	Vakinankaratra	Madagascar	pl
1492681	テベッサ県	Algeria	ja
68074	仁川広域市	South Korea	ja
19437063	潮安区	China	zh
211271	Bogotá	Colombia	de
408592	伊斯塔帕拉帕	Mexico	zh
211154	Nakhon Sawan 	Thailand	de
564774	Warri	Nigeria	pt
353661	バンドン	Indonesia	ja
24083340	Weishan 	China	de
6886	Чикаго	United States	ru
638366	Dongying	China	de
90580	Haute-Garonne	France	fr
1620032	Saharanpur	India	es
69605	カンタブリア州	Spain	ja
229411	Paraná	Brazil	de
20629	Maharashtra	India	fr
1730111	Понтианак	Indonesia	ru
2932678	随州市	China	ja
308606	محافظة تشونبوري	Thailand	ar
19605700	Ásia Oriental	Japan	pt
42298	第比利斯	Georgia	zh
256268	Rio Grande do Sul	Brazil	pl
417498	كوماسي	Ghana	ar
453705	Лампунг	Indonesia	ru
2995213	Shanwei	China	pl
4444855	Rupnagar district	India	en
2549700	宣威市	China	zh
596834	Enugu	Nigeria	it
403946	Dhaka 	Bangladesh	pl
626168	Lagos 	Nigeria	nl
20517	Мазари-Шариф	Afghanistan	ru
1164334	Región de Sikasso	Mali	es
2659164	Suqian	China	pl
1029003	仏山市	China	ja
645042	New York	United States	it
4355574	Region Tandjilé	Chad	pl
30057	東京都	Japan	ja
3620736	汉古县	Pakistan	zh
493449	贡布省	Cambodia	zh
323111	Ulsan	South Korea	es
1097492	汉中市	China	zh
23508076	Wientian	Laos	pl
1669363	Simdega	India	nl
2522189	Helwan	Egypt	de
1097492	漢中市	China	ja
23503	Portland	United States	fr
23397776	Punjab 	India	de
734354	ウーシマー県	Finland	ja
56680	Harare	Zimbabwe	pt
4635120	Pakpattan	Pakistan	pl
1108103	Nantong	China	es
1417544	Kitwe	Zambia	fr
18260530	ポドラシェ県	Poland	ja
1110775	西苏拉威西省	Indonesia	zh
613594	Weifang	China	fr
21482	Nairobi	Kenya	es
530229	Klang 	Malaysia	es
28969	西里西亚省	Poland	zh
1776398	Cuttack	India	es
1382029	Koulikoro Region	Mali	en
2137952	Майдугури	Nigeria	ru
2185044	Regione di Surkhandarya	Uzbekistan	it
894692	Jilin 	China	nl
502693	سوون	South Korea	ar
467036	Governatorato di al-Anbar	Iraq	it
24065201	Chengyang 	China	de
28687	Holanda do Sul	Netherlands	pt
3604348	Aden Governorate	Yemen	en
262187	Западная провинция 	Sri Lanka	ru
700984	Cuiabá	Brazil	pt
37410	Dresden	Germany	pt
26907676	Katargam	India	en
3540869	Qiannan	China	de
2688320	Cimahi	Indonesia	fr
241002	Fuzhou	China	en
85887	Kuyavian-Pomeranian Voivodeship	Poland	en
224112	Victoria de Durango	Mexico	es
20629	Maharashtra	India	de
24605504	Yangchun	China	de
215586	Guayaquil	Ecuador	en
766826	ンゴジ県	Burundi	ja
